timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685389662881,3,Home,200,OK,Thread Group 1-1,text,true,,1497,253,4,4,http://localhost:8080/jpetstore/,2,0,0
1685389662881,2,Home-0,302,Found,Thread Group 1-1,,true,,146,126,4,4,http://localhost:8080/jpetstore,2,0,0
1685389662883,1,Home-1,200,OK,Thread Group 1-1,text,true,,1351,127,4,4,http://localhost:8080/jpetstore/,1,0,0
1685389663323,3,Home,200,OK,Thread Group 1-2,text,true,,1497,253,5,5,http://localhost:8080/jpetstore/,2,0,1
1685389663323,2,Home-0,302,Found,Thread Group 1-2,,true,,146,126,5,5,http://localhost:8080/jpetstore,2,0,1
1685389663325,1,Home-1,200,OK,Thread Group 1-2,text,true,,1351,127,5,5,http://localhost:8080/jpetstore/,1,0,0
1685389663727,2,Home,200,OK,Thread Group 1-3,text,true,,1497,253,6,6,http://localhost:8080/jpetstore/,2,0,1
1685389663727,2,Home-0,302,Found,Thread Group 1-3,,true,,146,126,6,6,http://localhost:8080/jpetstore,2,0,1
1685389663729,0,Home-1,200,OK,Thread Group 1-3,text,true,,1351,127,6,6,http://localhost:8080/jpetstore/,0,0,0
1685389664081,6,Home,200,OK,Thread Group 1-4,text,true,,1497,253,7,7,http://localhost:8080/jpetstore/,1,0,0
1685389664081,1,Home-0,302,Found,Thread Group 1-4,,true,,146,126,7,7,http://localhost:8080/jpetstore,1,0,0
1685389664082,5,Home-1,200,OK,Thread Group 1-4,text,true,,1351,127,7,7,http://localhost:8080/jpetstore/,5,0,0
1685389664459,3,Main Catalog,200,OK,Thread Group 1-1,text,true,,5762,391,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685389664467,5,Home,200,OK,Thread Group 1-5,text,true,,1497,253,8,8,http://localhost:8080/jpetstore/,4,0,0
1685389664467,4,Home-0,302,Found,Thread Group 1-5,,true,,146,126,8,8,http://localhost:8080/jpetstore,4,0,0
1685389664471,1,Home-1,200,OK,Thread Group 1-5,text,true,,1351,127,8,8,http://localhost:8080/jpetstore/,1,0,0
1685389664853,5,Home,200,OK,Thread Group 1-6,text,true,,1497,253,9,9,http://localhost:8080/jpetstore/,2,0,1
1685389664853,2,Home-0,302,Found,Thread Group 1-6,,true,,146,126,9,9,http://localhost:8080/jpetstore,2,0,1
1685389664855,3,Home-1,200,OK,Thread Group 1-6,text,true,,1351,127,9,9,http://localhost:8080/jpetstore/,3,0,0
1685389664913,2,Main Catalog,200,OK,Thread Group 1-2,text,true,,5762,391,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389665260,9,Home,200,OK,Thread Group 1-7,text,true,,1497,253,10,10,http://localhost:8080/jpetstore/,2,0,1
1685389665260,2,Home-0,302,Found,Thread Group 1-7,,true,,146,126,10,10,http://localhost:8080/jpetstore,2,0,1
1685389665262,7,Home-1,200,OK,Thread Group 1-7,text,true,,1351,127,10,10,http://localhost:8080/jpetstore/,7,0,0
1685389665300,2,Main Catalog,200,OK,Thread Group 1-3,text,true,,5762,391,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389665613,2,Main Catalog,200,OK,Thread Group 1-4,text,true,,5762,391,11,11,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389666062,7,Main Catalog,200,OK,Thread Group 1-5,text,true,,5762,391,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1685389666065,8,Home,200,OK,Thread Group 1-8,text,true,,1497,253,12,12,http://localhost:8080/jpetstore/,7,0,1
1685389666065,7,Home-0,302,Found,Thread Group 1-8,,true,,146,126,12,12,http://localhost:8080/jpetstore,7,0,1
1685389666072,1,Home-1,200,OK,Thread Group 1-8,text,true,,1351,127,12,12,http://localhost:8080/jpetstore/,1,0,0
1685389666063,12,Sign In,200,OK,Thread Group 1-1,text,true,,3921,597,12,12,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,12,0,0
1685389666093,5,Home,200,OK,Thread Group 1-9,text,true,,1497,253,12,12,http://localhost:8080/jpetstore/,3,0,1
1685389666093,3,Home-0,302,Found,Thread Group 1-9,,true,,146,126,12,12,http://localhost:8080/jpetstore,3,0,1
1685389666096,2,Home-1,200,OK,Thread Group 1-9,text,true,,1351,127,12,12,http://localhost:8080/jpetstore/,1,0,0
1685389666380,1,Main Catalog,200,OK,Thread Group 1-6,text,true,,5762,391,13,13,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389666444,2,Home,200,OK,Thread Group 1-10,text,true,,1497,253,13,13,http://localhost:8080/jpetstore/,2,0,1
1685389666444,2,Home-0,302,Found,Thread Group 1-10,,true,,146,126,13,13,http://localhost:8080/jpetstore,2,0,1
1685389666446,0,Home-1,200,OK,Thread Group 1-10,text,true,,1351,127,13,13,http://localhost:8080/jpetstore/,0,0,0
1685389666507,2,Sign In,200,OK,Thread Group 1-2,text,true,,3925,597,13,13,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389666827,2,Main Catalog,200,OK,Thread Group 1-7,text,true,,5762,391,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389666857,2,Sign In,200,OK,Thread Group 1-3,text,true,,3925,597,14,14,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389666886,5,Home,200,OK,Thread Group 1-11,text,true,,1497,253,14,14,http://localhost:8080/jpetstore/,2,0,1
1685389666886,2,Home-0,302,Found,Thread Group 1-11,,true,,146,126,14,14,http://localhost:8080/jpetstore,2,0,1
1685389666888,3,Home-1,200,OK,Thread Group 1-11,text,true,,1351,127,14,14,http://localhost:8080/jpetstore/,3,0,0
1685389667144,2,Sign In,200,OK,Thread Group 1-4,text,true,,3925,597,15,15,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389667622,2,Main Catalog,200,OK,Thread Group 1-8,text,true,,5762,391,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389667630,2,Main Catalog,200,OK,Thread Group 1-9,text,true,,5762,391,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389667644,7,Home,200,OK,Thread Group 1-12,text,true,,1497,253,16,16,http://localhost:8080/jpetstore/,3,0,2
1685389667644,3,Home-0,302,Found,Thread Group 1-12,,true,,146,126,16,16,http://localhost:8080/jpetstore,3,0,2
1685389667648,3,Home-1,200,OK,Thread Group 1-12,text,true,,1351,127,16,16,http://localhost:8080/jpetstore/,3,0,0
1685389667685,4,Sign In,200,OK,Thread Group 1-5,text,true,,3923,597,16,16,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,4,0,0
1685389667686,4,Home,200,OK,Thread Group 1-13,text,true,,1497,253,16,16,http://localhost:8080/jpetstore/,3,0,2
1685389667686,3,Home-0,302,Found,Thread Group 1-13,,true,,146,126,16,16,http://localhost:8080/jpetstore,3,0,2
1685389667689,1,Home-1,200,OK,Thread Group 1-13,text,true,,1351,127,16,16,http://localhost:8080/jpetstore/,1,0,0
1685389667900,2,Sign In,200,OK,Thread Group 1-6,text,true,,3925,597,17,17,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389667958,2,Main Catalog,200,OK,Thread Group 1-10,text,true,,5762,391,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389668076,3,Home,200,OK,Thread Group 1-14,text,true,,1497,253,17,17,http://localhost:8080/jpetstore/,2,0,1
1685389668076,2,Home-0,302,Found,Thread Group 1-14,,true,,146,126,17,17,http://localhost:8080/jpetstore,2,0,1
1685389668078,1,Home-1,200,OK,Thread Group 1-14,text,true,,1351,127,17,17,http://localhost:8080/jpetstore/,1,0,0
1685389668331,2,Sign In,200,OK,Thread Group 1-7,text,true,,3925,597,18,18,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389668484,9,Home,200,OK,Thread Group 1-15,text,true,,1497,253,18,18,http://localhost:8080/jpetstore/,5,0,0
1685389668484,5,Home-0,302,Found,Thread Group 1-15,,true,,146,126,18,18,http://localhost:8080/jpetstore,5,0,0
1685389668490,3,Home-1,200,OK,Thread Group 1-15,text,true,,1351,127,18,18,http://localhost:8080/jpetstore/,3,0,0
1685389668491,4,Main Catalog,200,OK,Thread Group 1-11,text,true,,5762,391,18,18,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685389668907,3,Home,200,OK,Thread Group 1-16,text,true,,1497,253,19,19,http://localhost:8080/jpetstore/,1,0,1
1685389668907,1,Home-0,302,Found,Thread Group 1-16,,true,,146,126,19,19,http://localhost:8080/jpetstore,1,0,1
1685389668908,2,Home-1,200,OK,Thread Group 1-16,text,true,,1351,127,19,19,http://localhost:8080/jpetstore/,2,0,0
